timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:53:16.895, [Not Supported], 44 %, 28 %
2018/11/16 15:53:17.897, [Not Supported], 45 %, 28 %
2018/11/16 15:53:18.898, [Not Supported], 46 %, 29 %
2018/11/16 15:53:19.899, [Not Supported], 36 %, 23 %
2018/11/16 15:53:20.900, [Not Supported], 39 %, 24 %
2018/11/16 15:53:21.901, [Not Supported], 36 %, 23 %
2018/11/16 15:53:22.901, [Not Supported], 46 %, 29 %
2018/11/16 15:53:23.902, [Not Supported], 45 %, 29 %
2018/11/16 15:53:24.903, [Not Supported], 39 %, 25 %
2018/11/16 15:53:25.903, [Not Supported], 46 %, 29 %
2018/11/16 15:53:26.904, [Not Supported], 39 %, 24 %
2018/11/16 15:53:27.905, [Not Supported], 44 %, 26 %
2018/11/16 15:53:28.907, [Not Supported], 46 %, 29 %
2018/11/16 15:53:29.908, [Not Supported], 45 %, 28 %
2018/11/16 15:53:30.909, [Not Supported], 39 %, 24 %
2018/11/16 15:53:31.910, [Not Supported], 39 %, 24 %
2018/11/16 15:53:32.911, [Not Supported], 41 %, 26 %
2018/11/16 15:53:33.912, [Not Supported], 42 %, 26 %
2018/11/16 15:53:34.913, [Not Supported], 53 %, 31 %
2018/11/16 15:53:35.914, [Not Supported], 41 %, 25 %
2018/11/16 15:53:36.915, [Not Supported], 41 %, 26 %
2018/11/16 15:53:37.916, [Not Supported], 49 %, 28 %
2018/11/16 15:53:38.917, [Not Supported], 41 %, 25 %
2018/11/16 15:53:39.918, [Not Supported], 42 %, 26 %
2018/11/16 15:53:40.918, [Not Supported], 46 %, 31 %
2018/11/16 15:53:41.919, [Not Supported], 44 %, 27 %
2018/11/16 15:53:42.920, [Not Supported], 40 %, 24 %
2018/11/16 15:53:43.921, [Not Supported], 58 %, 33 %
2018/11/16 15:53:44.922, [Not Supported], 39 %, 24 %
2018/11/16 15:53:45.923, [Not Supported], 41 %, 26 %
2018/11/16 15:53:46.924, [Not Supported], 54 %, 33 %
2018/11/16 15:53:47.925, [Not Supported], 38 %, 23 %
2018/11/16 15:53:48.925, [Not Supported], 44 %, 27 %
2018/11/16 15:53:49.926, [Not Supported], 42 %, 26 %
2018/11/16 15:53:50.927, [Not Supported], 45 %, 28 %
2018/11/16 15:53:51.928, [Not Supported], 38 %, 24 %
2018/11/16 15:53:52.928, [Not Supported], 44 %, 26 %
2018/11/16 15:53:53.929, [Not Supported], 45 %, 28 %
2018/11/16 15:53:54.930, [Not Supported], 47 %, 30 %
2018/11/16 15:53:55.932, [Not Supported], 42 %, 26 %
2018/11/16 15:53:56.932, [Not Supported], 39 %, 24 %
2018/11/16 15:53:57.933, [Not Supported], 47 %, 30 %
2018/11/16 15:53:58.934, [Not Supported], 43 %, 27 %
2018/11/16 15:53:59.935, [Not Supported], 40 %, 25 %
2018/11/16 15:54:00.936, [Not Supported], 42 %, 26 %
2018/11/16 15:54:01.936, [Not Supported], 44 %, 28 %
2018/11/16 15:54:02.937, [Not Supported], 46 %, 28 %
2018/11/16 15:54:03.938, [Not Supported], 40 %, 25 %
2018/11/16 15:54:04.939, [Not Supported], 47 %, 30 %
2018/11/16 15:54:05.940, [Not Supported], 43 %, 26 %
2018/11/16 15:54:06.941, [Not Supported], 38 %, 24 %
2018/11/16 15:54:07.942, [Not Supported], 44 %, 28 %
2018/11/16 15:54:08.943, [Not Supported], 44 %, 29 %
2018/11/16 15:54:09.944, [Not Supported], 45 %, 28 %
2018/11/16 15:54:10.945, [Not Supported], 40 %, 26 %
2018/11/16 15:54:11.946, [Not Supported], 46 %, 29 %
2018/11/16 15:54:12.947, [Not Supported], 41 %, 26 %
2018/11/16 15:54:13.948, [Not Supported], 41 %, 26 %
2018/11/16 15:54:14.948, [Not Supported], 39 %, 25 %
2018/11/16 15:54:15.950, [Not Supported], 44 %, 28 %
2018/11/16 15:54:16.951, [Not Supported], 41 %, 26 %
2018/11/16 15:54:17.952, [Not Supported], 42 %, 26 %
2018/11/16 15:54:18.952, [Not Supported], 46 %, 30 %
2018/11/16 15:54:19.953, [Not Supported], 44 %, 26 %
2018/11/16 15:54:20.954, [Not Supported], 37 %, 23 %
2018/11/16 15:54:21.955, [Not Supported], 41 %, 25 %
2018/11/16 15:54:22.957, [Not Supported], 44 %, 27 %
2018/11/16 15:54:23.957, [Not Supported], 44 %, 27 %
2018/11/16 15:54:24.958, [Not Supported], 57 %, 33 %
2018/11/16 15:54:25.959, [Not Supported], 38 %, 23 %
2018/11/16 15:54:26.959, [Not Supported], 36 %, 23 %
2018/11/16 15:54:27.961, [Not Supported], 53 %, 31 %
2018/11/16 15:54:28.962, [Not Supported], 47 %, 29 %
2018/11/16 15:54:29.962, [Not Supported], 45 %, 27 %
2018/11/16 15:54:30.963, [Not Supported], 48 %, 27 %
2018/11/16 15:54:31.964, [Not Supported], 34 %, 21 %
2018/11/16 15:54:32.965, [Not Supported], 44 %, 27 %
2018/11/16 15:54:33.966, [Not Supported], 48 %, 27 %
2018/11/16 15:54:34.967, [Not Supported], 40 %, 26 %
2018/11/16 15:54:35.967, [Not Supported], 46 %, 29 %
2018/11/16 15:54:36.968, [Not Supported], 55 %, 31 %
2018/11/16 15:54:37.969, [Not Supported], 47 %, 30 %
2018/11/16 15:54:38.970, [Not Supported], 42 %, 26 %
2018/11/16 15:54:39.970, [Not Supported], 39 %, 24 %
2018/11/16 15:54:40.971, [Not Supported], 37 %, 23 %
2018/11/16 15:54:41.972, [Not Supported], 36 %, 22 %
2018/11/16 15:54:42.973, [Not Supported], 47 %, 29 %
2018/11/16 15:54:43.974, [Not Supported], 42 %, 26 %
2018/11/16 15:54:44.975, [Not Supported], 40 %, 25 %
2018/11/16 15:54:45.975, [Not Supported], 37 %, 23 %
2018/11/16 15:54:46.976, [Not Supported], 42 %, 26 %
2018/11/16 15:54:47.977, [Not Supported], 45 %, 27 %
2018/11/16 15:54:48.978, [Not Supported], 45 %, 28 %
2018/11/16 15:54:49.979, [Not Supported], 45 %, 28 %
2018/11/16 15:54:50.980, [Not Supported], 42 %, 26 %
2018/11/16 15:54:51.981, [Not Supported], 43 %, 27 %
2018/11/16 15:54:52.982, [Not Supported], 42 %, 26 %
2018/11/16 15:54:53.983, [Not Supported], 46 %, 28 %
2018/11/16 15:54:54.984, [Not Supported], 44 %, 27 %
2018/11/16 15:54:55.985, [Not Supported], 42 %, 26 %
2018/11/16 15:54:56.986, [Not Supported], 36 %, 23 %
2018/11/16 15:54:57.987, [Not Supported], 46 %, 27 %
2018/11/16 15:54:58.988, [Not Supported], 42 %, 26 %
2018/11/16 15:54:59.989, [Not Supported], 46 %, 28 %
2018/11/16 15:55:00.990, [Not Supported], 46 %, 29 %
2018/11/16 15:55:01.990, [Not Supported], 47 %, 29 %
2018/11/16 15:55:02.991, [Not Supported], 42 %, 26 %
2018/11/16 15:55:03.992, [Not Supported], 41 %, 26 %
2018/11/16 15:55:04.993, [Not Supported], 42 %, 26 %
2018/11/16 15:55:05.994, [Not Supported], 50 %, 29 %
2018/11/16 15:55:06.995, [Not Supported], 40 %, 25 %
2018/11/16 15:55:07.996, [Not Supported], 42 %, 26 %
2018/11/16 15:55:08.997, [Not Supported], 46 %, 32 %
2018/11/16 15:55:09.998, [Not Supported], 42 %, 26 %
2018/11/16 15:55:10.999, [Not Supported], 47 %, 29 %
2018/11/16 15:55:12.000, [Not Supported], 46 %, 26 %
2018/11/16 15:55:13.001, [Not Supported], 40 %, 24 %
2018/11/16 15:55:14.002, [Not Supported], 47 %, 30 %
2018/11/16 15:55:15.003, [Not Supported], 50 %, 31 %
2018/11/16 15:55:16.003, [Not Supported], 40 %, 25 %
2018/11/16 15:55:17.004, [Not Supported], 36 %, 22 %
2018/11/16 15:55:18.005, [Not Supported], 51 %, 29 %
2018/11/16 15:55:19.006, [Not Supported], 41 %, 26 %
2018/11/16 15:55:20.006, [Not Supported], 36 %, 22 %
2018/11/16 15:55:21.007, [Not Supported], 42 %, 26 %
2018/11/16 15:55:22.008, [Not Supported], 42 %, 26 %
2018/11/16 15:55:23.009, [Not Supported], 43 %, 27 %
2018/11/16 15:55:24.009, [Not Supported], 57 %, 32 %
2018/11/16 15:55:25.010, [Not Supported], 45 %, 28 %
2018/11/16 15:55:26.010, [Not Supported], 47 %, 29 %
2018/11/16 15:55:27.011, [Not Supported], 43 %, 26 %
2018/11/16 15:55:28.012, [Not Supported], 42 %, 26 %
2018/11/16 15:55:29.013, [Not Supported], 42 %, 26 %
2018/11/16 15:55:30.014, [Not Supported], 46 %, 29 %
2018/11/16 15:55:31.015, [Not Supported], 40 %, 24 %
