timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:55:21.591, [Not Supported], 46 %, 29 %
2018/11/16 15:55:22.592, [Not Supported], 52 %, 28 %
2018/11/16 15:55:23.593, [Not Supported], 44 %, 27 %
2018/11/16 15:55:24.594, [Not Supported], 42 %, 26 %
2018/11/16 15:55:25.595, [Not Supported], 55 %, 31 %
2018/11/16 15:55:26.595, [Not Supported], 39 %, 24 %
2018/11/16 15:55:27.596, [Not Supported], 46 %, 28 %
2018/11/16 15:55:28.598, [Not Supported], 54 %, 32 %
2018/11/16 15:55:29.598, [Not Supported], 40 %, 24 %
2018/11/16 15:55:30.599, [Not Supported], 35 %, 21 %
2018/11/16 15:55:31.600, [Not Supported], 42 %, 26 %
2018/11/16 15:55:32.601, [Not Supported], 40 %, 25 %
2018/11/16 15:55:33.602, [Not Supported], 42 %, 26 %
2018/11/16 15:55:34.603, [Not Supported], 43 %, 25 %
2018/11/16 15:55:35.604, [Not Supported], 42 %, 26 %
2018/11/16 15:55:36.605, [Not Supported], 46 %, 30 %
2018/11/16 15:55:37.606, [Not Supported], 47 %, 30 %
2018/11/16 15:55:38.606, [Not Supported], 40 %, 24 %
2018/11/16 15:55:39.607, [Not Supported], 59 %, 39 %
2018/11/16 15:55:40.608, [Not Supported], 54 %, 30 %
2018/11/16 15:55:41.608, [Not Supported], 77 %, 20 %
2018/11/16 15:55:42.609, [Not Supported], 16 %, 6 %
2018/11/16 15:55:43.610, [Not Supported], 12 %, 4 %
2018/11/16 15:55:44.610, [Not Supported], 25 %, 16 %
2018/11/16 15:55:45.611, [Not Supported], 23 %, 15 %
2018/11/16 15:55:46.612, [Not Supported], 21 %, 14 %
2018/11/16 15:55:47.613, [Not Supported], 40 %, 27 %
2018/11/16 15:55:48.614, [Not Supported], 56 %, 37 %
2018/11/16 15:55:49.614, [Not Supported], 45 %, 29 %
2018/11/16 15:55:50.615, [Not Supported], 41 %, 28 %
2018/11/16 15:55:51.616, [Not Supported], 43 %, 32 %
2018/11/16 15:55:52.617, [Not Supported], 43 %, 29 %
2018/11/16 15:55:53.617, [Not Supported], 46 %, 33 %
2018/11/16 15:55:54.618, [Not Supported], 42 %, 29 %
2018/11/16 15:55:55.619, [Not Supported], 42 %, 30 %
2018/11/16 15:55:56.620, [Not Supported], 41 %, 28 %
2018/11/16 15:55:57.622, [Not Supported], 38 %, 25 %
2018/11/16 15:55:58.623, [Not Supported], 43 %, 28 %
2018/11/16 15:55:59.624, [Not Supported], 41 %, 27 %
2018/11/16 15:56:00.625, [Not Supported], 49 %, 30 %
2018/11/16 15:56:01.626, [Not Supported], 45 %, 31 %
2018/11/16 15:56:02.627, [Not Supported], 48 %, 13 %
2018/11/16 15:56:03.627, [Not Supported], 10 %, 5 %
2018/11/16 15:56:04.628, [Not Supported], 10 %, 5 %
2018/11/16 15:56:05.628, [Not Supported], 10 %, 4 %
2018/11/16 15:56:06.629, [Not Supported], 12 %, 4 %
2018/11/16 15:56:07.630, [Not Supported], 11 %, 5 %
2018/11/16 15:56:08.630, [Not Supported], 11 %, 5 %
2018/11/16 15:56:09.631, [Not Supported], 13 %, 5 %
2018/11/16 15:56:10.631, [Not Supported], 12 %, 5 %
2018/11/16 15:56:11.632, [Not Supported], 10 %, 4 %
2018/11/16 15:56:12.632, [Not Supported], 14 %, 5 %
2018/11/16 15:56:13.633, [Not Supported], 10 %, 4 %
2018/11/16 15:56:14.634, [Not Supported], 20 %, 6 %
